[TIME]2016-02-09 12:02:36 ERROR:syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';'<br>D:\Build\Index\Controller\IndexController.class.php  in 14
[TIME]2016-02-09 12:02:57 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:19 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:20 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:20 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:20 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
